	alpha1	alpha2	specular1	eta2	k2	bsdf1	bsdf2
514	0.816176470588	0.523613256393	0.0586206896552	0.0256181537779	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
515	0.410588235294	0.347297415414	0.0972413793103	0.071672906628	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
516	0.816176470588	0.523613423564	0.174482758621	0.0762499548019	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
517	0.642352941176	0.463436382373	0.106896551724	0.0584860105543	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
518	0.613382352941	0.451481150734	0.0296551724138	0.0168526168421	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
519	0.671323529412	0.474782275547	0.068275862069	0.0359668291312	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
520	0.99	0.568903464833	0.068275862069	0.0240846627768	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
521	0.0629411764706	0.0626321415566	0.135862068966	0.134762088807	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
522	0.439558823529	0.364698306004	0.135862068966	0.0966225708471	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
523	0.642352941176	0.463436380951	0.02	0.0109426444036	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
524	0.932058823529	0.55500523793	0.068275862069	0.0258260110705	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
525	0.005	0.00548001245763	0.0296551724138	0.0355434223937	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
526	0.526470588235	0.41155830066	0.106896551724	0.0680432710921	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
527	0.265735294118	0.245410572075	0.135862068966	0.117693534342	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
528	0.526470588235	0.41155829319	0.126206896552	0.0803350146087	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
529	0.439558823529	0.364698296792	0.068275862069	0.0485565563667	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
530	0.642352941176	0.463436334127	0.193793103448	0.106029468831	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
531	0.468529411765	0.3811686341	0.02	0.0137141544637	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
532	0.120882352941	0.118733023349	0.0586206896552	0.0567801953619	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
533	0.932058823529	0.55500534527	0.0489655172414	0.0185217826948	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
534	0.4975	0.396755171557	0.068275862069	0.0451147362825	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
535	0.99	0.568903478984	0.0972413793103	0.0343024475781	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
536	0.4975	0.396755183117	0.22275862069	0.147192522599	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
537	0.845147058824	0.532023015719	0.02	0.00842633159562	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
538	0.874117647059	0.540044577803	0.0972413793103	0.0395091986252	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
539	0.207794117647	0.197506546692	0.0489655172414	0.04469952886	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
540	0.468529411765	0.38116859087	0.203448275862	0.139506075004	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
541	0.323676470588	0.289225490398	0.0489655172414	0.0399336165758	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
542	0.99	0.56890362872	0.174482758621	0.0615496836259	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
543	0.468529411765	0.381168590465	0.106896551724	0.0732998751415	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
544	0.758235294118	0.50552732682	0.193793103448	0.0911983507026	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
545	0.410588235294	0.347297385589	0.116551724138	0.0859058991991	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
546	0.207794117647	0.197506554018	0.0779310344828	0.071141460206	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
547	0.0919117647059	0.0909512310399	0.174482758621	0.171300816823	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
